heal,importedCase,localinfectionadd,healRate,suspect,dead,localConfirmadd,deadRate,date,y,confirm,infect,dateId
47,29,0,20.3,1,0,166,0.0,12.30,2021,232,29,2021-12-30
69,56,5,23.7,1,0,182,0.0,12.31,2021,291,38,2021-12-31
67,60,4,29.1,1,0,134,0.0,01.01,2022,230,52,2022-01-01
52,60,4,29.2,0,0,108,0.0,01.02,2022,178,35,2022-01-02
51,67,21,23.7,3,0,112,0.0,01.03,2022,215,54,2022-01-03
67,54,22,45.3,0,0,57,0.0,01.04,2022,148,71,2022-01-04
200,57,10,85.8,2,0,133,0.0,01.05,2022,233,45,2022-01-05
102,58,3,42.3,6,0,127,0.0,01.06,2022,241,45,2022-01-06
151,64,6,64.0,1,0,99,0.0,01.07,2022,236,52,2022-01-07
148,73,0,64.3,2,0,104,0.0,01.08,2022,230,46,2022-01-08
186,60,2,77.2,3,0,152,0.0,01.09,2022,241,42,2022-01-09
150,82,11,52.3,0,0,176,0.0,01.10,2022,287,50,2022-01-10
211,55,4,68.7,1,0,214,0.0,01.11,2022,307,32,2022-01-11
218,66,9,73.2,9,1,155,0.3,01.12,2022,298,31,2022-01-12
241,58,4,81.1,9,1,146,0.3,01.13,2022,297,42,2022-01-13
145,61,2,87.9,6,0,106,0.0,01.14,2022,165,25,2022-01-14
136,54,5,68.3,9,0,65,0.0,01.15,2022,199,52,2022-01-15
217,60,0,77.2,4,0,165,0.0,01.16,2022,281,28,2022-01-16
158,44,1,66.1,3,0,132,0.0,01.17,2022,239,33,2022-01-17
193,32,2,121.4,5,0,56,0.0,01.18,2022,159,37,2022-01-18
251,23,2,197.6,3,0,49,0.0,01.19,2022,127,28,2022-01-19
218,50,2,160.3,1,0,32,0.0,01.20,2022,136,31,2022-01-20
196,40,6,138.0,0,0,23,0.0,01.21,2022,142,43,2022-01-21
224,37,7,112.6,3,0,27,0.0,01.22,2022,199,34,2022-01-22
254,39,5,102.8,1,0,28,0.0,01.23,2022,247,27,2022-01-23
213,27,18,128.3,0,0,40,0.0,01.24,2022,166,43,2022-01-24
194,20,20,124.4,0,0,24,0.0,01.25,2022,156,64,2022-01-25
220,38,17,93.2,0,0,25,0.0,01.26,2022,236,55,2022-01-26
189,25,12,60.0,3,0,39,0.0,01.27,2022,315,54,2022-01-27
223,22,3,106.2,0,0,37,0.0,01.28,2022,210,32,2022-01-28
202,27,16,97.1,1,0,54,0.0,01.29,2022,208,65,2022-01-29
170,18,4,95.5,3,0,40,0.0,01.30,2022,178,52,2022-01-30
146,39,1,78.1,0,0,36,0.0,01.31,2022,187,32,2022-01-31
171,27,4,82.6,0,0,43,0.0,02.01,2022,207,28,2022-02-01
120,18,1,68.6,0,0,21,0.0,02.02,2022,175,96,2022-02-02
151,17,1,81.6,4,0,12,0.0,02.03,2022,185,52,2022-02-03
165,18,0,51.6,0,0,9,0.0,02.04,2022,320,60,2022-02-04
175,30,0,47.4,0,0,51,0.0,02.05,2022,369,40,2022-02-05
232,34,10,77.6,1,0,45,0.0,02.06,2022,299,51,2022-02-06
234,40,4,45.5,0,0,65,0.0,02.07,2022,514,46,2022-02-07
171,37,1,55.7,0,0,73,0.0,02.08,2022,307,24,2022-02-08
217,22,1,30.2,1,2,7,0.3,02.09,2022,718,28,2022-02-09
464,45,5,102.7,0,1,56,0.2,02.10,2022,452,66,2022-02-10
329,59,0,48.2,1,0,52,0.0,02.11,2022,682,41,2022-02-11
252,39,1,95.8,0,3,28,1.1,02.12,2022,263,34,2022-02-12
83,58,8,17.3,2,0,46,0.0,02.13,2022,481,39,2022-02-13
660,40,7,41.7,3,2,40,0.1,02.14,2022,1582,44,2022-02-14
314,56,5,41.8,0,0,46,0.0,02.15,2022,752,28,2022-02-15
329,57,11,34.9,3,3,35,0.3,02.16,2022,942,32,2022-02-16
298,47,20,48.6,6,11,40,1.8,02.17,2022,613,45,2022-02-17
329,57,15,20.4,4,20,82,1.2,02.18,2022,1612,37,2022-02-18
319,94,4,49.4,0,18,132,2.8,02.19,2022,646,39,2022-02-19
269,73,15,48.6,3,12,71,2.2,02.20,2022,554,38,2022-02-20
312,79,6,8.3,4,12,59,0.3,02.21,2022,3757,46,2022-02-21
345,115,16,11.8,2,36,90,1.2,02.22,2022,2912,67,2022-02-22
323,101,24,7.9,0,49,85,1.2,02.23,2022,4080,112,2022-02-23
325,142,22,11.5,7,41,82,1.5,02.24,2022,2818,109,2022-02-24
362,156,30,8.7,0,73,93,1.8,02.25,2022,4157,118,2022-02-25
375,127,22,6.5,7,80,112,1.4,02.26,2022,5802,100,2022-02-26
449,147,53,1.8,5,82,95,0.3,02.27,2022,24760,114,2022-02-27
