heal,deadRate,date,noInfect,confirm,healRate,dead,nowSevere,importedCase,localConfirm,localConfirmH5,local_acc_confirm,suspect,nowConfirm,y,noInfectH5,dateId
120748,4.3,12.30,512,131780,91.6,5699,15,11083,1933,1933,102083,2,5333,2021,28,2021-12-30
120817,4.3,12.31,514,132071,91.5,5699,15,11139,2091,2091,102321,1,5555,2021,29,2021-12-31
120884,4.3,01.01,550,132301,91.4,5699,16,11199,2194,2194,102508,1,5718,2022,31,2022-01-01
120936,4.3,01.02,562,132486,91.3,5699,22,11259,2275,2275,102673,0,5844,2022,33,2022-01-02
120987,4.3,01.03,588,132692,91.2,5699,30,11326,2366,2366,102845,3,6006,2022,48,2022-01-03
121052,4.3,01.04,632,132830,91.1,5699,31,11380,2387,2387,102947,1,6079,2022,67,2022-01-04
121252,4.3,01.05,629,133063,91.1,5699,30,11433,2343,2343,103121,2,6112,2022,46,2022-01-05
121354,4.3,01.06,632,133304,91.0,5699,30,11491,2392,2392,103306,7,6251,2022,28,2022-01-06
121505,4.3,01.07,661,133540,91.0,5699,27,11555,2366,2366,103458,1,6336,2022,33,2022-01-07
121653,4.3,01.08,675,133770,90.9,5699,26,11628,2356,2356,103631,2,6418,2022,30,2022-01-08
121839,4.3,01.09,699,134003,90.9,5699,27,11688,2375,2375,103817,3,6513,2022,31,2022-01-09
121989,4.2,01.10,721,134233,90.9,5699,21,11770,2337,2337,103977,1,6545,2022,40,2022-01-10
122200,4.2,01.11,724,134540,90.8,5699,14,11825,2376,2376,104237,1,6641,2022,43,2022-01-11
122418,4.2,01.12,726,134840,90.8,5670,10,11891,2314,2314,104410,9,6721,2022,52,2022-01-12
122659,4.2,01.13,748,135135,90.8,5700,11,11949,2234,2234,104583,13,6778,2022,55,2022-01-13
122816,4.2,01.14,743,135370,90.7,5700,11,12010,2213,2213,104747,9,6854,2022,54,2022-01-14
122952,4.2,01.15,753,135569,90.7,5700,13,12064,2208,2208,104869,14,6917,2022,50,2022-01-15
123169,4.2,01.16,742,135850,90.7,5700,15,12124,2199,2199,105089,8,6981,2022,52,2022-01-16
123327,4.2,01.17,760,136089,90.6,5700,14,12168,2250,2250,105263,8,7062,2022,51,2022-01-17
123520,4.2,01.18,767,136248,90.7,5700,15,12200,2180,2180,105346,11,7028,2022,50,2022-01-18
123771,4.2,01.19,755,136375,90.8,5700,16,12223,2053,2053,105411,10,6904,2022,45,2022-01-19
123989,4.2,01.20,765,136511,90.8,5700,12,12273,1961,1961,105484,5,6822,2022,45,2022-01-20
124185,4.2,01.21,778,136653,90.9,5700,12,12313,1884,1884,105547,4,6768,2022,51,2022-01-21
124409,4.2,01.22,751,136852,90.9,5700,10,12350,1791,1791,105611,7,6743,2022,57,2022-01-22
124663,4.2,01.23,736,137099,90.9,5700,11,12389,1660,1660,105670,7,6736,2022,60,2022-01-23
124876,4.2,01.24,747,137264,91.0,5700,9,12416,1560,1560,105727,6,6688,2022,76,2022-01-24
125070,4.1,01.25,778,137420,91.0,5700,8,12436,1438,1438,105749,3,6650,2022,94,2022-01-25
125290,4.1,01.26,784,137655,91.0,5700,7,12473,1330,1330,105811,0,6665,2022,104,2022-01-26
125479,4.1,01.27,808,137970,90.9,5700,9,12498,1274,1274,105875,0,6791,2022,112,2022-01-27
125702,4.1,01.28,777,138180,91.0,5700,8,12520,1169,1169,105934,1,6778,2022,111,2022-01-28
125904,4.1,01.29,800,138388,91.0,5700,10,12547,1110,1110,106015,1,6784,2022,122,2022-01-29
126074,4.1,01.30,812,138566,91.0,5700,10,12565,1069,1069,106073,4,6792,2022,125,2022-01-30
126220,4.1,01.31,814,138753,91.0,5700,10,12604,1037,1037,106148,0,6833,2022,121,2022-01-31
126391,4.1,02.01,810,138960,91.0,5700,9,12631,1000,1000,106209,0,6869,2022,122,2022-02-01
126511,4.1,02.02,855,139135,90.9,5700,8,12649,965,965,106241,0,6924,2022,115,2022-02-02
126662,4.1,02.03,869,139320,90.9,5700,6,12666,918,918,106270,4,6958,2022,115,2022-02-03
126827,4.1,02.04,887,139640,90.8,5700,6,12684,850,850,106297,2,7113,2022,109,2022-02-04
127002,4.1,02.05,855,140008,90.7,5700,6,12714,854,854,106377,2,7306,2022,108,2022-02-05
127234,4.1,02.06,876,140307,90.7,5700,6,12748,814,814,106419,1,7373,2022,112,2022-02-06
127468,4.0,02.07,872,140821,90.5,5700,5,12788,810,810,106524,0,7653,2022,106,2022-02-07
127639,4.0,02.08,837,141128,90.4,5700,4,12825,829,829,106634,0,7789,2022,92,2022-02-08
127856,4.0,02.09,824,141846,90.1,5702,4,12847,788,788,106663,1,8288,2022,85,2022-02-09
128320,4.0,02.10,832,142298,90.2,5703,5,12892,788,788,106764,0,8275,2022,86,2022-02-10
128649,4.0,02.11,823,142980,90.0,5703,6,12951,774,774,106874,1,8628,2022,82,2022-02-11
128901,4.0,02.12,804,143243,90.0,5706,5,12990,725,725,106930,0,8636,2022,71,2022-02-12
128984,4.0,02.13,801,143706,89.8,5706,5,13048,709,709,107016,0,9016,2022,74,2022-02-13
129644,3.9,02.14,791,145288,89.2,5708,6,13088,697,697,107094,3,9936,2022,77,2022-02-14
129958,3.9,02.15,751,146040,89.0,5712,7,13144,698,698,107196,1,10370,2022,77,2022-02-15
130287,3.9,02.16,721,146980,88.6,5715,7,13201,698,698,107288,3,10978,2022,85,2022-02-16
130585,3.9,02.17,706,147593,88.5,5726,7,13248,683,683,107375,6,11282,2022,101,2022-02-17
130914,3.9,02.18,694,149205,87.7,5746,8,13305,718,718,107512,4,12545,2022,102,2022-02-18
131233,3.8,02.19,687,149851,87.6,5764,7,13399,822,822,107707,0,12854,2022,105,2022-02-19
131502,3.8,02.20,686,150405,87.4,5776,10,13472,841,841,107851,0,13127,2022,114,2022-02-20
131814,3.8,02.21,681,154162,85.5,5788,12,13551,874,874,107989,4,16560,2022,113,2022-02-21
132159,3.7,02.22,703,157074,84.1,5824,14,13666,940,940,108194,3,19091,2022,128,2022-02-22
132482,3.6,02.23,774,161154,82.2,5873,18,13767,1012,1012,108380,0,22799,2022,141,2022-02-23
132807,3.6,02.24,816,163972,81.0,5913,18,13909,1055,1055,108604,7,25252,2022,148,2022-02-24
133169,3.6,02.25,880,168129,79.2,5986,18,14065,1113,1113,108853,4,28974,2022,171,2022-02-25
133544,3.5,02.26,924,173931,76.8,6066,19,14192,1184,1184,109092,9,34321,2022,191,2022-02-26
133993,3.1,02.27,1006,198691,67.4,6148,21,14339,1229,1229,109326,6,58550,2022,241,2022-02-27
