address,addqz,xyqz,fxqy
广东东莞,10,78,部分中高风险
天津滨海新区,7,7,部分中高风险
天津东丽区,1,5,全部低风险
天津北辰区,1,1,全部低风险
黑龙江黑河,1,1,全部低风险
山西太原,2,4,全部低风险
山西晋中,2,10,全部低风险
黑龙江牡丹江,3,6,全部低风险
湖北武汉,5,26,全部低风险
云南临沧,2,9,部分中风险
内蒙古呼和浩特,18,328,部分中高风险
海南三亚,1,1,全部低风险
辽宁葫芦岛,1,202,全部低风险
广西防城港,11,34,部分中风险
广东深圳,30,157,部分中风险
内蒙古包头,0,21,部分中风险
江苏苏州,0,108,部分中风险
内蒙古呼伦贝尔,0,7,部分中风险
四川成都,0,30,部分中风险
北京朝阳,0,91,全部低风险
黑龙江鸡西,0,5,部分中风险
云南红河,0,15,部分中风险
北京通州,0,12,全部低风险
山东青岛,0,2,全部低风险
北京西城,0,60,全部低风险
北京丰台,0,112,全部低风险
北京海淀,0,71,全部低风险
内蒙古巴彦淖尔,0,3,全部低风险
云南德宏州,0,10,全部低风险
江苏无锡,0,3,全部低风险
浙江绍兴,0,1,全部低风险
广西百色,0,162,部分中风险
云南文山州,0,3,全部低风险
辽宁沈阳,0,3,全部低风险
广东广州,0,5,全部低风险
广东惠州,0,6,全部低风险
湖南邵阳,0,1,全部低风险
浙江杭州,0,113,全部低风险
北京大兴,0,35,全部低风险
广东云浮,0,7,全部低风险
云南西双版纳州,0,5,全部低风险
广东珠海,0,37,全部低风险
北京房山,0,19,全部低风险
河南许昌,0,4,全部低风险
河南郑州,0,4,全部低风险
广东中山,0,3,部分中风险
浙江宁波,0,38,全部低风险
河南商丘,0,2,全部低风险
河南周口,0,4,全部低风险
浙江金华,0,2,全部低风险
河南信阳,0,3,全部低风险
云南昆明,0,5,全部低风险
福建厦门,0,1,全部低风险
北京昌平,0,20,全部低风险
北京顺义,0,1,全部低风险
广西南宁,0,1,全部低风险
北京怀柔,0,4,全部低风险
江苏南通,0,1,全部低风险
河南平顶山,0,1,全部低风险
四川眉山,0,1,全部低风险
山西忻州,0,1,全部低风险
河南三门峡,0,1,全部低风险
